Prerequisites,Interaction,Target
Fli1,ACTIVATION,Pu.1
Pu.1 + Gata1,INHIBITION,Gata1
Gata1 + Pu.1,INHIBITION,Pu.1
Gata1 + Zfpm1,INHIBITION,Gata2
Fli1 + Gata2,ACTIVATION,Scl
Fli1,ACTIVATION,Gata2
Scl + Gata1,ACTIVATION,Scl
Scl + Gata2,ACTIVATION,Gata2
Scl + Gata1,ACTIVATION,Gata1
Gata2 + Scl,ACTIVATION,Zfpm1
Gata2 + Scl,ACTIVATION,Scl
Fli1,ACTIVATION,Scl
Fli1,ACTIVATION,Fli1
Gata2,ACTIVATION,Fli1
Fli1,ACTIVATION,Erg
Erg,ACTIVATION,Fli1
Erg,ACTIVATION,Erg
Scl + Eto2,INHIBITION,Erg
Scl + Gata2,ACTIVATION,Fli1
Gata2,ACTIVATION,Erg
Runx1,ACTIVATION,Runx1
Pu.1,ACTIVATION,Runx1
Runx1,ACTIVATION,Pu.1
Gata2 + Scl,ACTIVATION,Runx1
Fli1,ACTIVATION,Runx1
Erg,ACTIVATION,Runx1
Pu.1,ACTIVATION,Pu.1
Scl + Gata2,ACTIVATION,Eto2
Runx1 + Smad6,INHIBITION,Runx1
Erg,ACTIVATION,Smad6
Fli1,ACTIVATION,Smad6
Scl + Gata2,ACTIVATION,Smad6
Erg,ACTIVATION,Scl
Scl + Gata2,ACTIVATION,Hhex
Gata2 + Hhex,INHIBITION,Gata2
Fli1,ACTIVATION,Hhex
Erg,ACTIVATION,Hhex
Runx1,ACTIVATION,Erg
Erg,ACTIVATION,Gata2
Gata1,INHIBITION,Fli1