,WT,FLT3,NPM1,DNMT3A,NPM1 DNMT3A,FLT3 DNMT3A,FLT3-NPM1,FLT3 NPM1 DNMT3A
flt3,0,1,0,0,0,1,1,1
npm1,1,1,0,1,0,1,0,0
akt1,0,1,0,0,0,1,1,1
cdkn2a,1,1,0,1,0,1,0,0
bcl2,0,0,0,0,0,0,1,1
ccnd1,0,0,0,0,0,1,0,1
cebpa,1,0,1,1,1,0,0,0
mapk1,0,1,0,0,0,1,1,1
etv6,1,0,1,1,1,0,0,0
fbxw7,1,1,0,1,0,1,0,0
gsk3b,1,0,1,1,1,0,0,0
hoxa9,0,0,1,0,1,0,1,1
meis1,0,0,0,0,1,0,0,1
myc,0,0,0,0,0,0,1,1
sox4,0,1,0,0,0,1,1,1
stat5a,0,1,0,0,0,1,1,1
tp53,1,1,0,1,0,1,0,0
dnmt3a,1,1,1,0,0,0,1,0
Differentiation,2,0,2,2,1,0,0,-1
Proliferation,0,2,0,0,1,3,2,4
Apoptosis,1,1,0,1,0,1,-1,-1
Network,-3,1,-2,-3,0,2,3,6